joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.104475,-0.104875,-0.006150,-0.017525,-0.009725,-0.009800,-0.007175,0.004625,0.080125,-0.023000,-0.020625,0.041203,0.041203,0.067550,0.057925,0.092361,-0.092361,0.018750,-0.008650,-0.031936,0.031936,-0.277384,-0.277384,0.005912,-0.005912,-0.131556,-0.131556,-0.022261,-0.022261
-0.116975,-0.116150,-0.007275,-0.020100,-0.010725,-0.009175,-0.002275,0.003375,0.090175,-0.030125,-0.024700,0.034380,0.034380,0.070350,0.064900,0.099182,-0.099182,0.015800,-0.012325,-0.033444,0.033444,-0.290079,-0.290079,0.004834,-0.004834,-0.136734,-0.136734,-0.024709,-0.024709
-0.127925,-0.124475,-0.004950,-0.020075,-0.011350,-0.008950,0.007300,0.001175,0.098325,-0.031375,-0.021350,0.025916,0.025916,0.070625,0.062550,0.107017,-0.107017,0.013775,-0.015500,-0.035907,0.035907,-0.302034,-0.302034,0.003785,-0.003785,-0.141238,-0.141238,-0.027488,-0.027488
-0.146075,-0.142900,-0.002175,-0.021850,-0.014700,-0.010050,0.007550,-0.000400,0.109075,-0.032000,-0.020200,0.016300,0.016300,0.075575,0.062675,0.115803,-0.115803,0.018425,-0.016000,-0.039257,0.039257,-0.313460,-0.313460,0.002897,-0.002897,-0.145825,-0.145825,-0.030755,-0.030755
-0.165700,-0.162950,-0.000075,-0.023900,-0.018175,-0.011375,0.005075,-0.001425,0.121325,-0.032350,-0.019925,0.005888,0.005888,0.082575,0.065875,0.125340,-0.125340,0.025025,-0.014175,-0.043192,0.043192,-0.324227,-0.324227,0.002390,-0.002390,-0.151175,-0.151175,-0.034505,-0.034505
-0.181175,-0.176250,0.000100,-0.024675,-0.019150,-0.011875,0.006550,-0.001925,0.133925,-0.032850,-0.019175,-0.005182,-0.005182,0.088975,0.072750,0.135258,-0.135258,0.028850,-0.010425,-0.047290,0.047290,-0.333695,-0.333695,0.002520,-0.002520,-0.157699,-0.157699,-0.038650,-0.038650
-0.203675,-0.198600,0.000900,-0.026025,-0.020850,-0.014875,0.002775,0.000275,0.147825,-0.039850,-0.025650,-0.016873,-0.016873,0.100875,0.085625,0.145122,-0.145122,0.034550,-0.005475,-0.051205,0.051205,-0.341119,-0.341119,0.003432,-0.003432,-0.165530,-0.165530,-0.043103,-0.043103
-0.221925,-0.218800,0.001975,-0.027225,-0.022425,-0.018875,-0.004375,0.004075,0.156125,-0.049825,-0.036100,-0.029296,-0.029296,0.112325,0.098025,0.154529,-0.154529,0.039275,-0.001775,-0.054776,0.054776,-0.345980,-0.345980,0.004948,-0.004948,-0.174518,-0.174518,-0.047791,-0.047791
-0.246750,-0.243800,-0.000500,-0.031725,-0.020900,-0.023700,-0.016875,0.006250,0.169725,-0.046725,-0.030125,-0.042897,-0.042897,0.122850,0.105425,0.163105,-0.163105,0.044600,0.004250,-0.057988,0.057988,-0.347882,-0.347882,0.006421,-0.006421,-0.184148,-0.184148,-0.052543,-0.052543
-0.271400,-0.266450,-0.003500,-0.036825,-0.020350,-0.028400,-0.029200,0.005625,0.184425,-0.044550,-0.022700,-0.058435,-0.058435,0.132700,0.112125,0.170489,-0.170489,0.047125,0.008750,-0.060946,0.060946,-0.346337,-0.346337,0.006756,-0.006756,-0.193543,-0.193543,-0.056934,-0.056934
-0.289150,-0.279675,-0.003875,-0.039750,-0.024925,-0.032050,-0.035775,0.000975,0.196050,-0.057350,-0.028775,-0.076743,-0.076743,0.142175,0.122450,0.176372,-0.176372,0.043450,0.007875,-0.063846,0.063846,-0.340785,-0.340785,0.004607,-0.004607,-0.201658,-0.201658,-0.060167,-0.060167
-0.311950,-0.299000,0.001150,-0.043875,-0.030250,-0.036325,-0.047375,-0.006400,0.218675,-0.064625,-0.025400,-0.098739,-0.098739,0.152325,0.131200,0.180525,-0.180525,0.045025,0.006750,-0.066832,0.066832,-0.330495,-0.330495,-0.001303,0.001303,-0.207431,-0.207431,-0.061128,-0.061128
-0.328375,-0.314775,0.009025,-0.047100,-0.033650,-0.039075,-0.058200,-0.012825,0.240975,-0.062725,-0.014300,-0.125644,-0.125644,0.158025,0.133975,0.182758,-0.182758,0.051050,0.005900,-0.069821,0.069821,-0.314319,-0.314319,-0.011821,0.011821,-0.209835,-0.209835,-0.058628,-0.058628
-0.343300,-0.331600,0.021450,-0.047450,-0.036925,-0.041825,-0.062325,-0.021150,0.281450,-0.041525,0.021875,-0.158742,-0.158742,0.152425,0.118825,0.182979,-0.182979,0.057175,0.004425,-0.072561,0.072561,-0.290907,-0.290907,-0.027086,0.027086,-0.208072,-0.208072,-0.051748,-0.051748
-0.353100,-0.345050,0.029800,-0.047400,-0.043525,-0.045050,-0.064700,-0.028800,0.327125,-0.016675,0.072175,-0.198750,-0.198750,0.144625,0.091825,0.181375,-0.181375,0.062150,0.000450,-0.074931,0.074931,-0.259511,-0.259511,-0.046407,0.046407,-0.201884,-0.201884,-0.040168,-0.040168
-0.354200,-0.350800,0.025400,-0.049350,-0.057000,-0.049250,-0.070200,-0.033300,0.364925,-0.003800,0.125575,-0.245571,-0.245571,0.143600,0.059100,0.178558,-0.178558,0.064675,-0.007925,-0.077135,0.077135,-0.220549,-0.220549,-0.068368,0.068368,-0.191630,-0.191630,-0.024335,-0.024335
-0.358800,-0.378350,0.028650,-0.054725,-0.075350,-0.055500,-0.080625,-0.042825,0.423800,0.036325,0.229550,-0.298832,-0.298832,0.124725,0.005025,0.175390,-0.175390,0.069750,-0.020775,-0.079618,0.079618,-0.175133,-0.175133,-0.091107,0.091107,-0.177822,-0.177822,-0.005448,-0.005448
-0.364525,-0.413900,0.037950,-0.060875,-0.089375,-0.060700,-0.090800,-0.052625,0.474350,0.083600,0.332125,-0.358554,-0.358554,0.097475,-0.043400,0.172633,-0.172633,0.074850,-0.031650,-0.082868,0.082868,-0.124112,-0.124112,-0.112669,0.112669,-0.160522,-0.160522,0.014751,0.014751
-0.389200,-0.477200,0.036275,-0.071375,-0.118900,-0.068775,-0.104675,-0.059025,0.541275,0.154650,0.505550,-0.425082,-0.425082,0.064150,-0.135575,0.170757,-0.170757,0.081225,-0.047025,-0.087382,0.087382,-0.067897,-0.067897,-0.131334,0.131334,-0.139232,-0.139232,0.034294,0.034294
-0.432225,-0.553975,0.027275,-0.082125,-0.153350,-0.077500,-0.120775,-0.066525,0.612125,0.249875,0.700000,-0.498640,-0.498640,0.024225,-0.237925,0.169907,-0.169907,0.089250,-0.060425,-0.093647,0.093647,-0.006839,-0.006839,-0.145901,0.145901,-0.113224,-0.113224,0.051346,0.051346
-0.492900,-0.629950,0.014650,-0.089075,-0.182175,-0.084675,-0.137600,-0.079625,0.674450,0.369675,0.865625,-0.579328,-0.579328,-0.022800,-0.316925,0.169797,-0.169797,0.099300,-0.065350,-0.101887,0.101887,0.058832,0.058832,-0.155920,0.155920,-0.081864,-0.081864,0.064525,0.064525
-0.590950,-0.721550,0.003975,-0.090550,-0.215200,-0.088225,-0.157675,-0.098675,0.753450,0.557200,1.042300,-0.667340,-0.667340,-0.100125,-0.392850,0.169531,-0.169531,0.111925,-0.065775,-0.111704,0.111704,0.129443,0.129443,-0.161812,0.161812,-0.044838,-0.044838,0.073150,0.073150
-0.677350,-0.782925,0.000600,-0.085825,-0.235925,-0.086375,-0.171000,-0.114150,0.809600,0.718650,1.141700,-0.762701,-0.762701,-0.169100,-0.427775,0.167568,-0.167568,0.120800,-0.061425,-0.121945,0.121945,0.205893,0.205893,-0.164798,0.164798,-0.002500,-0.002500,0.077369,0.077369
-0.788125,-0.839425,-0.008350,-0.078200,-0.243650,-0.074100,-0.186825,-0.130650,0.884925,0.891325,1.209800,-0.864730,-0.864730,-0.228525,-0.442725,0.161894,-0.161894,0.121125,-0.048600,-0.130821,0.130821,0.289236,0.289236,-0.166643,0.166643,0.043845,0.043845,0.078188,0.078188
-0.893225,-0.893450,-0.013725,-0.068550,-0.241425,-0.057650,-0.200875,-0.139350,0.952800,1.027250,1.246075,-0.972060,-0.972060,-0.265650,-0.440250,0.150309,-0.150309,0.117850,-0.034250,-0.136041,0.136041,0.380455,0.380455,-0.169312,0.169312,0.092150,0.092150,0.077382,0.077382
-0.962575,-0.947375,-0.006350,-0.057750,-0.232300,-0.043250,-0.208800,-0.131350,0.986550,1.078300,1.249950,-1.083011,-1.083011,-0.267775,-0.422950,0.130927,-0.130927,0.115900,-0.025200,-0.135026,0.135026,0.480193,0.480193,-0.174672,0.174672,0.140188,0.140188,0.077285,0.077285
-1.051150,-1.029450,-0.005075,-0.047150,-0.224825,-0.026850,-0.201600,-0.116050,1.022550,1.119700,1.255700,-1.195304,-1.195304,-0.263400,-0.402750,0.102922,-0.102922,0.107275,-0.016200,-0.125539,0.125539,0.587956,0.587956,-0.184271,0.184271,0.186005,0.186005,0.080417,0.080417
-1.114675,-1.098625,-0.010500,-0.042050,-0.222800,-0.016650,-0.182900,-0.101150,1.042800,1.130750,1.260475,-1.305591,-1.305591,-0.254675,-0.389750,0.067149,-0.067149,0.096300,-0.011725,-0.106431,0.106431,0.701537,0.701537,-0.199212,0.199212,0.228207,0.228207,0.088940,0.088940
-1.192750,-1.197325,0.000850,-0.030250,-0.218325,-0.014800,-0.151425,-0.052875,1.042125,1.150275,1.269900,-1.410390,-1.410390,-0.251875,-0.371525,0.026190,-0.026190,0.082550,-0.005775,-0.077832,0.077832,0.817691,0.817691,-0.220071,0.220071,0.266405,0.266405,0.104031,0.104031
-1.265925,-1.302650,0.015000,-0.019425,-0.212200,-0.020575,-0.111950,0.008500,1.029200,1.167575,1.280400,-1.507545,-1.507545,-0.255325,-0.347650,-0.016255,0.016255,0.073650,-0.000025,-0.040989,0.040989,0.933558,0.933558,-0.246759,0.246759,0.301650,0.301650,0.125372,0.125372
-1.314725,-1.391800,0.017950,-0.017250,-0.205350,-0.033225,-0.069225,0.062700,1.012725,1.171800,1.288350,-1.596055,-1.596055,-0.265250,-0.317600,-0.056197,0.056197,0.077325,0.003925,0.001549,-0.001549,1.047103,1.047103,-0.278250,0.278250,0.336347,0.336347,0.151002,0.151002
-1.387775,-1.509750,0.006900,-0.010700,-0.191550,-0.056700,-0.019225,0.138850,0.977875,1.174075,1.307175,-1.674848,-1.674848,-0.269675,-0.284525,-0.090189,0.090189,0.086075,0.007550,0.045732,-0.045732,1.156433,1.156433,-0.312375,0.312375,0.373818,0.373818,0.177698,0.177698
-1.448550,-1.597500,-0.012575,-0.003050,-0.177675,-0.079250,0.013025,0.198850,0.942075,1.173350,1.327450,-1.742579,-1.742579,-0.266375,-0.264950,-0.116146,0.116146,0.095500,0.009050,0.086486,-0.086486,1.259334,1.259334,-0.345918,0.345918,0.417921,0.417921,0.201827,0.201827
-1.510900,-1.673075,-0.042900,-0.013600,-0.175225,-0.119075,0.028825,0.261550,0.874050,1.208475,1.348100,-1.798220,-1.798220,-0.278500,-0.249400,-0.133786,0.133786,0.110425,0.017200,0.118713,-0.118713,1.353177,1.353177,-0.375124,0.375124,0.472213,0.472213,0.220395,0.220395
-1.587950,-1.751500,-0.071625,-0.022150,-0.180175,-0.154050,0.035100,0.313575,0.790725,1.284250,1.386425,-1.841598,-1.841598,-0.304800,-0.248175,-0.144478,0.144478,0.124550,0.022675,0.138282,-0.138282,1.435277,1.435277,-0.396487,0.396487,0.538339,0.538339,0.231866,0.231866
