body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.001838,0.013318,-0.018585,-0.002931,-0.003190,-0.019308,-0.001907,-0.015544,-0.009329,0.002520,-0.004469,-0.008634,0.000646,-0.013258,-0.018960,-0.003283,-0.006514,0.010386,-0.014972,-0.003556,0.010031,-0.002569,0.023121,-0.025271,0.066786,0.054515,-0.008565,-0.000960,-0.035725,-0.000678,0.003853,-0.017529,0.040317,-0.069297,0.059667,-0.042197,-0.008723,-0.035584,-0.049481,-0.017752,0.001629,-0.049202
0.000634,0.010981,-0.022656,-0.003747,-0.004350,-0.023321,-0.003739,-0.011573,-0.013503,-0.004182,-0.005805,-0.013063,0.002566,-0.013341,-0.022541,-0.001165,-0.003769,0.007620,-0.013116,-0.001862,0.007327,-0.003432,0.022137,-0.030916,0.063582,0.058532,-0.013178,0.000287,-0.026175,-0.003047,0.007162,-0.003378,0.038157,-0.067397,0.063545,-0.048913,-0.010927,-0.025920,-0.058462,-0.020983,0.013939,-0.063050
-0.000481,0.008040,-0.025629,-0.001655,-0.001536,-0.025846,-0.002230,-0.007062,-0.014423,-0.005198,-0.003825,-0.014100,0.006732,-0.018330,-0.024722,0.002433,-0.011952,0.006526,-0.007769,-0.000610,0.005657,-0.005404,0.020125,-0.032761,0.059735,0.061019,-0.014075,-0.000301,-0.019468,-0.004020,0.007722,0.005874,0.035403,-0.067090,0.065941,-0.051745,-0.013649,-0.019134,-0.061229,-0.023854,0.020899,-0.069480
-0.001726,0.005855,-0.030550,0.001403,0.002431,-0.030178,0.000612,-0.007593,-0.011181,-0.003112,-0.005359,-0.010910,0.007745,-0.020943,-0.029297,0.003187,-0.017582,0.001271,-0.002839,-0.002397,0.000216,-0.007630,0.018472,-0.036155,0.056187,0.063132,-0.016665,-0.001870,-0.014551,-0.009097,0.006752,0.011228,0.026914,-0.067629,0.068009,-0.055984,-0.016051,-0.014170,-0.062978,-0.026016,0.023863,-0.073321
-0.002579,0.005471,-0.035011,0.003845,0.005493,-0.034198,0.003311,-0.013003,-0.005406,0.000987,-0.009780,-0.005102,0.005020,-0.019933,-0.034026,0.000635,-0.017861,-0.005535,-0.000816,-0.006279,-0.006292,-0.009053,0.017981,-0.039454,0.054003,0.065629,-0.019313,-0.003525,-0.010879,-0.016585,0.005138,0.013223,0.014836,-0.067974,0.070510,-0.059972,-0.016947,-0.010497,-0.062107,-0.026378,0.023671,-0.072735
-0.002660,0.007961,-0.032153,0.005699,0.008003,-0.031097,0.004683,-0.010502,0.000978,0.001458,-0.006172,0.001389,0.006653,-0.017699,-0.030901,0.002513,-0.014098,-0.002852,-0.000083,-0.003577,-0.003558,-0.007595,0.019527,-0.038686,0.055143,0.069403,-0.018060,-0.003324,-0.007605,-0.022183,0.004660,0.012888,0.004048,-0.065934,0.074328,-0.059724,-0.014132,-0.007279,-0.054977,-0.022648,0.021596,-0.064065
-0.002353,0.010947,-0.027939,0.006451,0.009307,-0.026839,0.005201,-0.007068,0.003938,0.000863,-0.001600,0.004464,0.009512,-0.015624,-0.026294,0.005374,-0.011606,0.002001,0.000626,-0.000583,0.001232,-0.005893,0.021846,-0.036342,0.056725,0.073074,-0.015454,-0.003843,-0.005759,-0.027745,0.002670,0.009666,-0.006632,-0.063914,0.078062,-0.057671,-0.010298,-0.005553,-0.044713,-0.017466,0.017255,-0.050695
-0.002048,0.012098,-0.028382,0.005687,0.008781,-0.027430,0.005442,-0.009683,-0.000577,0.001910,-0.003201,0.000003,0.010493,-0.015006,-0.026629,0.005788,-0.015535,0.001770,0.002610,-0.003279,0.000948,-0.006662,0.023808,-0.034911,0.055819,0.075351,-0.014052,-0.007578,-0.006150,-0.035021,-0.003288,0.003378,-0.018359,-0.064440,0.080402,-0.056230,-0.008350,-0.006115,-0.034547,-0.013746,0.010544,-0.036306
-0.001588,0.012884,-0.024374,0.005693,0.006940,-0.023497,0.007555,-0.018175,-0.001806,0.002228,-0.008790,-0.000960,0.011016,-0.012576,-0.022595,0.005981,-0.017616,0.004495,0.003807,-0.006169,0.003740,-0.008450,0.026513,-0.032860,0.053873,0.077351,-0.012317,-0.012887,-0.007457,-0.041882,-0.011542,-0.004119,-0.028723,-0.066056,0.082464,-0.053876,-0.007023,-0.007635,-0.023536,-0.010177,0.003229,-0.020455
-0.001305,0.012862,-0.017821,0.006341,0.004589,-0.016913,0.010355,-0.028405,0.000984,0.001519,-0.015644,0.002177,0.010676,-0.009602,-0.016113,0.005720,-0.016857,0.008858,0.003526,-0.007898,0.008261,-0.010453,0.028485,-0.031114,0.051874,0.077894,-0.011073,-0.018862,-0.010996,-0.048899,-0.021221,-0.013852,-0.038440,-0.068120,0.083083,-0.051638,-0.005603,-0.011423,-0.012961,-0.005909,-0.005985,-0.004856
