joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.070500,0.045492,-0.041296,0.098763,-0.087622,-0.011293,0.197543,-0.118232,0.078254,0.150141,0.158880,-0.152840,-0.152840,-0.168271,-0.196592,0.256109,-0.256109,-0.089514,0.065848,-0.585082,0.585082,0.479949,0.479949,0.176251,-0.176251,-0.413593,-0.413593,-0.049973,-0.049973
0.070385,0.044937,-0.041420,0.098782,-0.087406,-0.011416,0.197801,-0.117581,0.078502,0.150079,0.158913,-0.151840,-0.151840,-0.168221,-0.196265,0.257350,-0.257350,-0.089598,0.065623,-0.584392,0.584392,0.478101,0.478101,0.175904,-0.175904,-0.412836,-0.412836,-0.049657,-0.049657
0.070363,0.044420,-0.041513,0.098889,-0.087240,-0.011554,0.198339,-0.116989,0.078747,0.149816,0.158915,-0.150771,-0.150771,-0.168152,-0.196019,0.258566,-0.258566,-0.089641,0.065531,-0.583786,0.583786,0.476281,0.476281,0.175585,-0.175585,-0.412117,-0.412117,-0.049400,-0.049400
0.070386,0.043921,-0.041590,0.099041,-0.087099,-0.011699,0.199018,-0.116425,0.078990,0.149452,0.158903,-0.149649,-0.149649,-0.168075,-0.195812,0.259768,-0.259768,-0.089662,0.065506,-0.583296,0.583296,0.474431,0.474431,0.175316,-0.175316,-0.411477,-0.411477,-0.049192,-0.049192
0.070365,0.043394,-0.041768,0.099226,-0.086863,-0.011776,0.199688,-0.115847,0.079199,0.149203,0.158968,-0.148488,-0.148488,-0.167955,-0.195614,0.260963,-0.260963,-0.089731,0.065374,-0.582945,0.582945,0.472502,0.472502,0.175109,-0.175109,-0.410953,-0.410953,-0.049016,-0.049016
0.070321,0.042859,-0.041921,0.099396,-0.086618,-0.011866,0.200308,-0.115272,0.079417,0.148920,0.158972,-0.147310,-0.147310,-0.167824,-0.195398,0.262155,-0.262155,-0.089786,0.065261,-0.582744,0.582744,0.470462,0.470462,0.174965,-0.174965,-0.410566,-0.410566,-0.048853,-0.048853
0.070233,0.042311,-0.042023,0.099538,-0.086354,-0.011986,0.200827,-0.114701,0.079657,0.148569,0.158854,-0.146136,-0.146136,-0.167671,-0.195143,0.263342,-0.263342,-0.089815,0.065185,-0.582689,0.582689,0.468295,0.468295,0.174877,-0.174877,-0.410326,-0.410326,-0.048684,-0.048684
0.070084,0.041842,-0.042252,0.099690,-0.086106,-0.012171,0.201261,-0.114190,0.079947,0.147993,0.158681,-0.144986,-0.144986,-0.167411,-0.194954,0.264527,-0.264527,-0.089916,0.065116,-0.582772,0.582772,0.465986,0.465986,0.174830,-0.174830,-0.410234,-0.410234,-0.048492,-0.048492
0.069903,0.041414,-0.042544,0.099847,-0.085867,-0.012390,0.201653,-0.113710,0.080261,0.147305,0.158481,-0.143871,-0.143871,-0.167096,-0.194798,0.265716,-0.265716,-0.090054,0.065052,-0.582980,0.582980,0.463515,0.463515,0.174809,-0.174809,-0.410295,-0.410295,-0.048272,-0.048272
0.069768,0.040837,-0.042803,0.099995,-0.085626,-0.012562,0.201963,-0.113551,0.080730,0.146777,0.158300,-0.142785,-0.142785,-0.166867,-0.194455,0.266918,-0.266918,-0.090136,0.064963,-0.583299,0.583299,0.460856,0.460856,0.174802,-0.174802,-0.410521,-0.410521,-0.048028,-0.048028
