body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.009752,-0.009814,0.783510,-0.000917,0.110013,0.654148,0.026508,0.131702,0.349959,-0.025056,0.138008,0.036843,0.011238,-0.122486,0.647640,0.052722,-0.144368,0.345081,-0.013333,-0.154509,0.035063,0.009205,-0.010942,0.827670,0.110803,0.132904,1.049231,0.111956,0.190095,0.874154,0.234601,0.100923,0.778954,0.113428,-0.147795,1.052413,0.115687,-0.208907,0.878677,0.236664,-0.119638,0.781454
0.006900,-0.010142,0.782414,-0.004296,0.109850,0.653347,0.028131,0.132409,0.349718,-0.025125,0.137964,0.036883,0.008693,-0.122594,0.646478,0.055275,-0.144784,0.344682,-0.013179,-0.154238,0.035194,0.006616,-0.011331,0.826575,0.114020,0.132652,1.045415,0.115248,0.189654,0.870278,0.236655,0.101264,0.772619,0.117667,-0.147972,1.048276,0.120423,-0.208482,0.874338,0.239518,-0.118975,0.774865
0.003769,-0.010575,0.781094,-0.008023,0.109576,0.652350,0.029568,0.133050,0.349388,-0.025388,0.137862,0.036848,0.005630,-0.122819,0.645129,0.057637,-0.145408,0.344250,-0.012976,-0.154291,0.035260,0.003827,-0.011819,0.825255,0.117332,0.132345,1.041017,0.118747,0.188924,0.865745,0.238846,0.101453,0.765481,0.121941,-0.148189,1.043588,0.125266,-0.207894,0.869382,0.242457,-0.118376,0.767496
0.000589,-0.010924,0.779678,-0.011811,0.109396,0.651291,0.030922,0.133777,0.349085,-0.025760,0.137850,0.036856,0.002390,-0.122954,0.643699,0.059914,-0.145944,0.343858,-0.012781,-0.154242,0.035362,0.001021,-0.012224,0.823835,0.120738,0.132126,1.036255,0.122600,0.188054,0.860779,0.241393,0.101637,0.757869,0.126174,-0.148305,1.038562,0.130258,-0.206995,0.864028,0.245646,-0.117743,0.759673
-0.002691,-0.011108,0.778068,-0.015724,0.109404,0.650089,0.032120,0.134630,0.348720,-0.026336,0.137930,0.036824,-0.001206,-0.122914,0.642096,0.062035,-0.146356,0.343445,-0.012593,-0.154095,0.035422,-0.001821,-0.012467,0.822217,0.124384,0.132034,1.030939,0.126853,0.187069,0.855188,0.244244,0.101796,0.749526,0.130383,-0.148285,1.033038,0.135260,-0.205790,0.858130,0.248929,-0.117165,0.751166
-0.005928,-0.011276,0.776271,-0.019639,0.109447,0.648757,0.033392,0.135529,0.348330,-0.026735,0.138082,0.036760,-0.004961,-0.122846,0.640334,0.064211,-0.146742,0.343038,-0.012288,-0.153968,0.035486,-0.004558,-0.012695,0.820405,0.128293,0.131940,1.025088,0.131602,0.185811,0.848990,0.247522,0.101729,0.740546,0.134538,-0.148260,1.027131,0.140301,-0.204491,0.851835,0.252395,-0.116916,0.742139
-0.009145,-0.011436,0.774381,-0.023555,0.109507,0.647374,0.034693,0.136438,0.347989,-0.027053,0.138252,0.036747,-0.008800,-0.122765,0.638507,0.066389,-0.147130,0.342718,-0.011950,-0.153882,0.035642,-0.007245,-0.012916,0.818493,0.132267,0.131836,1.018862,0.136611,0.184345,0.842375,0.251036,0.101598,0.731092,0.138605,-0.148234,1.020924,0.145379,-0.203085,0.845227,0.255981,-0.116893,0.732700
-0.012217,-0.011415,0.772200,-0.027322,0.109814,0.645804,0.036387,0.137540,0.347606,-0.027140,0.138551,0.036736,-0.012626,-0.122440,0.636381,0.068790,-0.147331,0.342293,-0.011326,-0.153741,0.035690,-0.009748,-0.012973,0.816282,0.136224,0.131882,1.012198,0.142062,0.182743,0.835270,0.255045,0.101311,0.721293,0.142302,-0.148051,1.014539,0.150406,-0.201561,0.838484,0.259790,-0.117220,0.723121
-0.015331,-0.011433,0.769823,-0.031146,0.110084,0.644084,0.038270,0.138652,0.347242,-0.027238,0.138819,0.036801,-0.016532,-0.122154,0.634102,0.071287,-0.147646,0.341917,-0.010674,-0.153775,0.035820,-0.012272,-0.013070,0.813865,0.139950,0.131863,1.005218,0.147502,0.180947,0.827852,0.259066,0.100993,0.711154,0.145730,-0.147923,1.007876,0.155371,-0.200013,0.831472,0.263585,-0.117751,0.713232
-0.018531,-0.011529,0.767052,-0.035090,0.110279,0.642039,0.040534,0.139806,0.346812,-0.027358,0.139044,0.036908,-0.020594,-0.121941,0.631486,0.074015,-0.148160,0.341497,-0.009921,-0.154108,0.035959,-0.014838,-0.013244,0.811042,0.143340,0.131729,0.997812,0.152898,0.178896,0.820023,0.263081,0.100510,0.700642,0.148734,-0.147898,1.000858,0.160178,-0.198522,0.824134,0.267307,-0.118564,0.703029
-0.021728,-0.011547,0.763786,-0.039068,0.110534,0.639551,0.043154,0.141045,0.346192,-0.027540,0.139199,0.036949,-0.024722,-0.121670,0.628448,0.076857,-0.148703,0.340906,-0.009353,-0.154443,0.036032,-0.017364,-0.013334,0.807712,0.146518,0.131582,0.989915,0.158271,0.176782,0.811745,0.267054,0.100101,0.689644,0.151513,-0.147875,0.993273,0.164950,-0.196892,0.816235,0.270976,-0.119328,0.692280
-0.024923,-0.011527,0.760271,-0.043062,0.110816,0.636861,0.045926,0.142302,0.345587,-0.027773,0.139293,0.037086,-0.028884,-0.121373,0.625222,0.079708,-0.149287,0.340343,-0.008931,-0.154813,0.036200,-0.019871,-0.013384,0.804120,0.149532,0.131423,0.981698,0.163590,0.174561,0.803183,0.270885,0.099672,0.678314,0.154131,-0.147852,0.985336,0.169677,-0.195138,0.807999,0.274503,-0.120034,0.681176
-0.028306,-0.011373,0.755982,-0.047409,0.111185,0.633487,0.049062,0.143824,0.344732,-0.027961,0.139549,0.037097,-0.033391,-0.120990,0.621370,0.082801,-0.149729,0.339592,-0.008617,-0.154928,0.036310,-0.022465,-0.013282,0.799731,0.151939,0.131324,0.973009,0.168736,0.172361,0.794235,0.274694,0.099373,0.666758,0.156174,-0.147759,0.976802,0.174282,-0.193110,0.799202,0.278029,-0.120432,0.669745
-0.031676,-0.011224,0.751368,-0.051764,0.111543,0.629863,0.052361,0.145330,0.343911,-0.028132,0.139722,0.037228,-0.037935,-0.120618,0.617269,0.085935,-0.150217,0.338873,-0.008349,-0.155081,0.036511,-0.025023,-0.013186,0.794998,0.154131,0.131203,0.964025,0.173838,0.170045,0.785058,0.278440,0.099014,0.655032,0.158068,-0.147675,0.967920,0.178934,-0.190928,0.790100,0.281540,-0.120632,0.658100
-0.035020,-0.011086,0.746105,-0.056142,0.111883,0.625694,0.056029,0.146842,0.342943,-0.028227,0.139775,0.037351,-0.042545,-0.120266,0.612622,0.089240,-0.150750,0.337984,-0.008076,-0.155237,0.036629,-0.027508,-0.013101,0.789593,0.156009,0.131051,0.954599,0.178935,0.167661,0.775545,0.282295,0.098670,0.643135,0.159758,-0.147612,0.958475,0.183726,-0.188557,0.780500,0.285243,-0.120520,0.646183
-0.038351,-0.010866,0.740121,-0.060538,0.112284,0.620894,0.060050,0.148559,0.341796,-0.028238,0.140002,0.037441,-0.047132,-0.119849,0.607360,0.092873,-0.151222,0.336924,-0.007804,-0.155243,0.036730,-0.029959,-0.012928,0.783446,0.157770,0.130981,0.944422,0.184040,0.165291,0.765373,0.286159,0.098343,0.630695,0.161379,-0.147451,0.948236,0.188594,-0.185960,0.770185,0.288991,-0.120102,0.633688
-0.041675,-0.010605,0.733778,-0.064940,0.112712,0.615815,0.064184,0.150340,0.340744,-0.028257,0.140270,0.037736,-0.051711,-0.119405,0.601830,0.096577,-0.151704,0.335958,-0.007621,-0.155218,0.037029,-0.032394,-0.012711,0.776919,0.159431,0.130954,0.933823,0.189174,0.162931,0.754886,0.290107,0.097994,0.618111,0.162927,-0.147236,0.937559,0.193525,-0.183248,0.759536,0.292840,-0.119493,0.621032
