joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
1.769500,1.710475,0.095525,-0.225125,-0.042125,0.187050,0.051625,-0.114050,-0.003875,-1.414825,-1.208625,0.912025,0.939975,0.433725,0.317675,-0.166112,-0.224738,-0.122225,0.085925,0.062275,-0.253375,-0.730775,-0.732025,0.292625,-0.090475,0.226475,0.262600,-0.123425,0.023500
1.800025,1.742025,0.072675,-0.237675,-0.046950,0.162450,0.059975,-0.107525,-0.006200,-1.489075,-1.255275,0.922475,0.918850,0.469400,0.340975,-0.144225,-0.179475,-0.122750,0.085825,0.070950,-0.244700,-0.710250,-0.756700,0.309675,-0.087025,0.252000,0.269150,-0.115250,0.015475
1.827650,1.776750,0.063100,-0.241450,-0.050175,0.147125,0.070150,-0.101450,-0.003350,-1.531275,-1.294500,0.915050,0.905525,0.490500,0.356875,-0.136848,-0.144827,-0.119700,0.086775,0.080950,-0.239675,-0.687100,-0.763150,0.325225,-0.099250,0.259325,0.281075,-0.119975,0.009525
1.853700,1.791275,0.047075,-0.253200,-0.038975,0.129550,0.083175,-0.095725,0.003800,-1.583950,-1.324300,0.903850,0.875275,0.521475,0.367025,-0.116828,-0.088772,-0.115350,0.091200,0.099025,-0.239150,-0.689075,-0.761850,0.383500,-0.107075,0.273650,0.292125,-0.156225,-0.009750
1.878325,1.799350,0.034050,-0.260975,-0.028625,0.117175,0.093300,-0.094300,0.009875,-1.635650,-1.353050,0.894725,0.844400,0.544650,0.375250,-0.099278,-0.029297,-0.113450,0.095875,0.124400,-0.243675,-0.698325,-0.753500,0.446225,-0.114075,0.285425,0.306500,-0.193450,-0.022825
1.901625,1.814750,0.033400,-0.252850,-0.034375,0.117400,0.094800,-0.101225,0.009500,-1.674950,-1.389100,0.893400,0.829300,0.542400,0.385425,-0.098822,0.015172,-0.117875,0.097650,0.156225,-0.253875,-0.697100,-0.738825,0.475025,-0.123925,0.285150,0.328350,-0.201100,-0.010175
1.907150,1.818625,0.042850,-0.241200,-0.029625,0.122900,0.095425,-0.112100,0.011675,-1.687000,-1.407900,0.880175,0.805275,0.533550,0.385550,-0.094754,0.066404,-0.120425,0.098025,0.186825,-0.248275,-0.693850,-0.708925,0.487825,-0.144800,0.286675,0.340750,-0.221750,0.003250
1.892125,1.809050,0.057700,-0.231825,-0.016775,0.130925,0.094850,-0.121450,0.015325,-1.665750,-1.400050,0.861650,0.784325,0.522550,0.375600,-0.092110,0.101760,-0.119825,0.096800,0.200875,-0.229675,-0.690125,-0.678700,0.478250,-0.166250,0.289250,0.337500,-0.245100,0.010750
1.868775,1.799825,0.059300,-0.212525,-0.004100,0.143725,0.099850,-0.128850,0.013325,-1.622450,-1.401600,0.848300,0.762550,0.492400,0.353875,-0.088729,0.130454,-0.111425,0.099175,0.211625,-0.205950,-0.700000,-0.643950,0.440675,-0.190175,0.279825,0.356575,-0.266050,0.008975
1.833350,1.780700,0.057125,-0.190025,0.008200,0.156675,0.106300,-0.128225,0.007375,-1.565925,-1.392775,0.835950,0.739650,0.453300,0.320875,-0.085183,0.148183,-0.100050,0.102250,0.221450,-0.183650,-0.720525,-0.613075,0.402200,-0.216500,0.269100,0.380025,-0.276225,0.000625
