body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.999922,0.003314,-0.011962,0.001275,0.996594,0.053927,-0.062237,0.004264,0.989037,0.030180,0.094887,0.109043,0.994276,-0.006515,0.005888,0.106480,0.996418,-0.039635,-0.074669,-0.002159,0.993385,-0.024019,0.089308,-0.068062,0.997814,0.002948,-0.011483,-0.065006,0.999483,-0.000417,0.026369,-0.018368,0.980451,0.191356,0.040389,-0.021617,0.758250,0.283569,0.574586,-0.120403,0.717520,0.340620,0.576946,-0.190462,0.980581,-0.195642,-0.009799,-0.009481,0.747562,-0.323764,0.561410,0.145420,0.717246,-0.331816,0.569944,0.224991
0.999922,0.003336,-0.011935,0.001518,0.996578,0.053864,-0.062539,0.004514,0.989064,0.030105,0.094691,0.108995,0.994283,-0.006477,0.005727,0.106430,0.996429,-0.039674,-0.074508,-0.001916,0.993399,-0.024120,0.089321,-0.067818,0.997831,0.002904,-0.011558,-0.064747,0.999486,-0.000521,0.026331,-0.018254,0.980386,0.191699,0.040402,-0.021515,0.758135,0.283731,0.574754,-0.119941,0.717598,0.340459,0.577094,-0.190008,0.980577,-0.195680,-0.009469,-0.009405,0.747272,-0.323776,0.561772,0.145486,0.716840,-0.332071,0.570190,0.225282
0.999922,0.003359,-0.011907,0.001732,0.996565,0.053794,-0.062791,0.004732,0.989086,0.030027,0.094544,0.108944,0.994289,-0.006444,0.005578,0.106378,0.996438,-0.039720,-0.074368,-0.001703,0.993412,-0.024222,0.089314,-0.067599,0.997845,0.002878,-0.011614,-0.064515,0.999489,-0.000623,0.026310,-0.018158,0.980330,0.191995,0.040400,-0.021434,0.758011,0.283865,0.574947,-0.119482,0.717722,0.340214,0.577238,-0.189540,0.980580,-0.195685,-0.009123,-0.009343,0.746977,-0.323746,0.562169,0.145531,0.716463,-0.332184,0.570485,0.225571
0.999922,0.003384,-0.011880,0.001889,0.996559,0.053712,-0.062946,0.004888,0.989099,0.029944,0.094492,0.108889,0.994296,-0.006418,0.005446,0.106319,0.996443,-0.039777,-0.074271,-0.001550,0.993425,-0.024326,0.089268,-0.067430,0.997856,0.002890,-0.011636,-0.064336,0.999489,-0.000722,0.026319,-0.018099,0.980283,0.192247,0.040367,-0.021398,0.757858,0.283981,0.575192,-0.118997,0.717926,0.339840,0.577378,-0.189013,0.980593,-0.195639,-0.008747,-0.009311,0.746671,-0.323640,0.562638,0.145529,0.716136,-0.332021,0.570880,0.225847
0.999922,0.003406,-0.011868,0.001973,0.996558,0.053600,-0.063051,0.004967,0.989121,0.029851,0.094456,0.108752,0.994312,-0.006415,0.005356,0.106183,0.996447,-0.039853,-0.074189,-0.001471,0.993423,-0.024417,0.089294,-0.067384,0.997860,0.002877,-0.011604,-0.064281,0.999488,-0.000805,0.026370,-0.018075,0.980258,0.192356,0.040437,-0.021392,0.757759,0.283981,0.575380,-0.118718,0.718104,0.339465,0.577503,-0.188631,0.980612,-0.195561,-0.008333,-0.009304,0.746382,-0.323457,0.563138,0.145479,0.715950,-0.331594,0.571387,0.225782
0.999922,0.003427,-0.011863,0.002020,0.996559,0.053471,-0.063132,0.005007,0.989146,0.029754,0.094428,0.108575,0.994330,-0.006425,0.005287,0.106008,0.996449,-0.039936,-0.074113,-0.001430,0.993414,-0.024501,0.089358,-0.067399,0.997860,0.002852,-0.011545,-0.064289,0.999487,-0.000880,0.026443,-0.018070,0.980251,0.192364,0.040560,-0.021401,0.757697,0.283898,0.575535,-0.118559,0.718279,0.339065,0.577615,-0.188338,0.980635,-0.195465,-0.007898,-0.009311,0.746104,-0.323233,0.563655,0.145407,0.715835,-0.331034,0.571948,0.225549
0.999922,0.003437,-0.011842,0.002124,0.996562,0.053388,-0.063153,0.005105,0.989146,0.029669,0.094429,0.108595,0.994328,-0.006420,0.005252,0.106031,0.996444,-0.039996,-0.074143,-0.001334,0.993417,-0.024557,0.089330,-0.067379,0.997862,0.002804,-0.011500,-0.064268,0.999484,-0.000907,0.026555,-0.018044,0.980235,0.192422,0.040674,-0.021401,0.757661,0.283853,0.575637,-0.118400,0.718466,0.338739,0.577704,-0.187939,0.980631,-0.195495,-0.007607,-0.009279,0.745907,-0.323180,0.563950,0.145390,0.716060,-0.330410,0.572224,0.225046
0.999922,0.003442,-0.011813,0.002186,0.996567,0.053306,-0.063134,0.005160,0.989151,0.029599,0.094415,0.108577,0.994330,-0.006417,0.005208,0.106015,0.996440,-0.040051,-0.074176,-0.001279,0.993420,-0.024607,0.089281,-0.067382,0.997863,0.002734,-0.011477,-0.064269,0.999481,-0.000938,0.026675,-0.018054,0.980220,0.192477,0.040756,-0.021441,0.757639,0.283854,0.575679,-0.118337,0.718628,0.338515,0.577720,-0.187674,0.980620,-0.195562,-0.007301,-0.009281,0.745725,-0.323130,0.564230,0.145350,0.716288,-0.329766,0.572514,0.224532
0.999923,0.003434,-0.011768,0.002163,0.996578,0.053221,-0.063036,0.005128,0.989167,0.029557,0.094370,0.108486,0.994340,-0.006416,0.005147,0.105923,0.996435,-0.040103,-0.074216,-0.001306,0.993423,-0.024649,0.089193,-0.067435,0.997860,0.002615,-0.011496,-0.064320,0.999475,-0.000980,0.026811,-0.018139,0.980197,0.192578,0.040775,-0.021566,0.757629,0.283992,0.575603,-0.118437,0.718724,0.338532,0.577599,-0.187648,0.980593,-0.195709,-0.006968,-0.009353,0.745571,-0.323089,0.564481,0.145257,0.716519,-0.329084,0.572829,0.223990
0.999923,0.003439,-0.011707,0.002140,0.996588,0.053143,-0.062943,0.005095,0.989169,0.029496,0.094377,0.108479,0.994339,-0.006432,0.005231,0.105927,0.996428,-0.040128,-0.074293,-0.001336,0.993431,-0.024690,0.089152,-0.067358,0.997865,0.002478,-0.011460,-0.064244,0.999469,-0.001000,0.026972,-0.018229,0.980176,0.192660,0.040807,-0.021699,0.757665,0.284123,0.575453,-0.118623,0.718851,0.338584,0.577410,-0.187650,0.980561,-0.195875,-0.006670,-0.009420,0.745353,-0.323129,0.564758,0.145205,0.716589,-0.328781,0.573112,0.223487
