joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.070768,0.045992,-0.041141,0.098830,-0.087696,-0.011194,0.197324,-0.118859,0.078029,0.150254,0.158759,0.033954,-0.074120,-0.168373,-0.196664,0.387436,-0.393755,-0.089509,0.066086,-0.474705,0.642160,1.118989,1.178594,0.182708,-0.111702,0.015242,-0.011921,-0.050015,0.120970
0.070500,0.045492,-0.041296,0.098763,-0.087622,-0.011293,0.197543,-0.118232,0.078254,0.150141,0.158880,0.033877,-0.074132,-0.168271,-0.196592,0.386529,-0.393932,-0.089514,0.065848,-0.474503,0.642150,1.119267,1.178755,0.181964,-0.111109,0.014914,-0.012015,-0.049665,0.120277
0.070385,0.044937,-0.041420,0.098782,-0.087406,-0.011416,0.197801,-0.117581,0.078502,0.150079,0.158913,0.033897,-0.074113,-0.168221,-0.196265,0.385713,-0.394146,-0.089598,0.065623,-0.474433,0.642016,1.119819,1.178763,0.181288,-0.110746,0.014564,-0.011938,-0.049378,0.119757
0.070363,0.044420,-0.041513,0.098889,-0.087240,-0.011554,0.198339,-0.116989,0.078747,0.149816,0.158915,0.033957,-0.073909,-0.168152,-0.196019,0.384829,-0.394112,-0.089641,0.065531,-0.474442,0.642027,1.120343,1.179025,0.180770,-0.110354,0.014337,-0.012073,-0.049135,0.119254
0.070386,0.043921,-0.041590,0.099041,-0.087099,-0.011699,0.199018,-0.116425,0.078990,0.149452,0.158903,0.034038,-0.073611,-0.168075,-0.195812,0.384011,-0.393969,-0.089662,0.065506,-0.474490,0.642111,1.120853,1.179414,0.180331,-0.109949,0.014172,-0.012314,-0.048914,0.118760
0.070365,0.043394,-0.041768,0.099226,-0.086863,-0.011776,0.199688,-0.115847,0.079199,0.149203,0.158968,0.034093,-0.073595,-0.167955,-0.195614,0.383578,-0.393694,-0.089731,0.065374,-0.474882,0.641862,1.121570,1.179644,0.180137,-0.110029,0.014009,-0.012612,-0.048935,0.118449
0.070321,0.042859,-0.041921,0.099396,-0.086618,-0.011866,0.200308,-0.115272,0.079417,0.148920,0.158972,0.034092,-0.073604,-0.167824,-0.195398,0.383302,-0.393360,-0.089786,0.065261,-0.475179,0.641441,1.122462,1.179926,0.179936,-0.110074,0.013782,-0.012823,-0.048943,0.118132
0.070233,0.042311,-0.042023,0.099538,-0.086354,-0.011986,0.200827,-0.114701,0.079657,0.148569,0.158854,0.033982,-0.073663,-0.167671,-0.195143,0.383129,-0.392885,-0.089815,0.065185,-0.475283,0.640679,1.123706,1.180313,0.179722,-0.110046,0.013427,-0.012858,-0.048923,0.117804
0.070084,0.041842,-0.042252,0.099690,-0.086106,-0.012171,0.201261,-0.114190,0.079947,0.147993,0.158681,0.033913,-0.073616,-0.167411,-0.194954,0.383269,-0.392358,-0.089916,0.065116,-0.475552,0.639939,1.124541,1.180644,0.179743,-0.110165,0.013130,-0.012958,-0.048749,0.117505
0.069903,0.041414,-0.042544,0.099847,-0.085867,-0.012390,0.201653,-0.113710,0.080261,0.147305,0.158481,0.033865,-0.073515,-0.167096,-0.194798,0.383651,-0.391788,-0.090054,0.065052,-0.475902,0.639210,1.125170,1.180948,0.179881,-0.110356,0.012863,-0.013089,-0.048498,0.117220
0.069768,0.040837,-0.042803,0.099995,-0.085626,-0.012562,0.201963,-0.113551,0.080730,0.146777,0.158300,0.033404,-0.073757,-0.166867,-0.194455,0.384264,-0.391032,-0.090136,0.064963,-0.475981,0.638641,1.125817,1.181826,0.179870,-0.110426,0.012272,-0.013112,-0.048201,0.117369
0.069568,0.040239,-0.043047,0.100120,-0.085395,-0.012729,0.202285,-0.113328,0.081221,0.146161,0.158115,0.032826,-0.074001,-0.166519,-0.194126,0.385014,-0.390243,-0.090225,0.064875,-0.476223,0.638112,1.126337,1.182744,0.179755,-0.110459,0.011722,-0.013149,-0.047816,0.117512
0.069240,0.039599,-0.043263,0.100199,-0.085185,-0.012884,0.202629,-0.112975,0.081757,0.145370,0.157921,0.032013,-0.074251,-0.165932,-0.193825,0.385882,-0.389422,-0.090327,0.064791,-0.476794,0.637665,1.126603,1.183744,0.179434,-0.110422,0.011250,-0.013215,-0.047254,0.117646
0.068722,0.038885,-0.043458,0.100260,-0.085032,-0.013051,0.202677,-0.112722,0.082338,0.144673,0.157575,0.031241,-0.074397,-0.165317,-0.193352,0.386626,-0.388749,-0.090372,0.064715,-0.477134,0.637412,1.126813,1.184720,0.179168,-0.110369,0.010862,-0.013307,-0.046965,0.118050
0.068109,0.038135,-0.043642,0.100313,-0.084909,-0.013223,0.202577,-0.112520,0.082943,0.144022,0.157154,0.030488,-0.074491,-0.164688,-0.192795,0.387278,-0.388140,-0.090388,0.064644,-0.477359,0.637257,1.126994,1.185685,0.178931,-0.110309,0.010516,-0.013413,-0.046812,0.118588
0.067277,0.037074,-0.043667,0.100310,-0.084832,-0.013433,0.202407,-0.112463,0.083621,0.143567,0.156757,0.029674,-0.074606,-0.163866,-0.192173,0.387811,-0.387427,-0.090360,0.064556,-0.477645,0.637385,1.127361,1.186344,0.179175,-0.110253,0.010067,-0.013932,-0.046593,0.118752
0.066290,0.035929,-0.043678,0.100284,-0.084790,-0.013627,0.202262,-0.112371,0.084392,0.143193,0.156398,0.028825,-0.074929,-0.162939,-0.191534,0.388340,-0.386797,-0.090271,0.064477,-0.477910,0.637522,1.127657,1.187100,0.179483,-0.110238,0.009574,-0.014335,-0.046555,0.118834
0.064995,0.034616,-0.043660,0.100215,-0.084819,-0.013792,0.202167,-0.112209,0.085350,0.142981,0.156119,0.027906,-0.075672,-0.161801,-0.190859,0.388917,-0.386358,-0.090061,0.064414,-0.478135,0.637678,1.127811,1.188050,0.179922,-0.110307,0.008995,-0.014506,-0.046881,0.118753
0.063551,0.033140,-0.043715,0.100111,-0.084893,-0.013948,0.202117,-0.112062,0.086435,0.142708,0.155664,0.026981,-0.076682,-0.160642,-0.190011,0.389267,-0.386172,-0.089806,0.064398,-0.478264,0.637927,1.127889,1.188891,0.180061,-0.110538,0.008461,-0.014567,-0.047269,0.118467
0.062031,0.031584,-0.043807,0.099990,-0.084988,-0.014098,0.202090,-0.111922,0.087584,0.142403,0.155121,0.026054,-0.077827,-0.159471,-0.189076,0.389484,-0.386100,-0.089530,0.064406,-0.478345,0.638222,1.127930,1.189677,0.180051,-0.110848,0.007950,-0.014573,-0.047689,0.118078
0.060150,0.029717,-0.043823,0.099743,-0.085160,-0.014314,0.202005,-0.111840,0.089003,0.142195,0.154961,0.025157,-0.079407,-0.158224,-0.188259,0.389772,-0.386127,-0.089090,0.064294,-0.478174,0.637964,1.127944,1.190259,0.180574,-0.110703,0.007589,-0.014614,-0.048173,0.117304
0.058165,0.027734,-0.043892,0.099444,-0.085343,-0.014519,0.201891,-0.111752,0.090513,0.141861,0.154674,0.024229,-0.080970,-0.156925,-0.187271,0.389965,-0.386172,-0.088683,0.064152,-0.477987,0.637641,1.127804,1.190670,0.180777,-0.110509,0.007289,-0.014730,-0.048632,0.116529
