joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.003425,-0.026800,-0.005425,0.003150,0.009550,-0.006525,0.019900,0.031075,0.012325,-0.008125,0.000875,0.004816,0.002963,0.002975,0.014325,0.002131,0.006505,-0.003175,-0.007925,0.038696,-0.034691,-0.000609,-0.000658,0.000000,0.000000,0.001323,-0.002648,0.019721,-0.014559
0.000025,-0.025400,-0.004250,0.006475,0.007675,-0.007075,0.030425,0.028900,0.012200,-0.015675,-0.000250,0.010644,0.009751,0.003650,0.011325,0.000655,0.006560,-0.001600,-0.002925,0.032828,-0.030957,-0.000521,-0.000601,0.000000,0.000000,0.000006,-0.005298,0.013822,-0.008612
0.000050,-0.025650,-0.006375,0.008425,0.009425,-0.005550,0.033725,0.028550,0.011300,-0.015325,0.001325,0.011660,0.008873,0.004925,0.010125,0.001881,0.006965,-0.002250,-0.003925,0.021554,-0.014717,-0.000352,-0.000293,0.000000,0.000000,-0.002007,-0.004509,0.005835,-0.000663
-0.001625,-0.026550,-0.008275,0.008875,0.012025,-0.004175,0.032250,0.028825,0.010675,-0.013300,0.001725,0.009400,0.004935,0.006275,0.010350,0.003184,0.007293,-0.003100,-0.006125,0.014555,-0.003371,-0.000230,-0.000056,0.000000,0.000000,0.000300,0.000332,0.002204,0.002872
-0.003300,-0.027075,-0.006375,0.007800,0.012725,-0.005250,0.028475,0.028650,0.011450,-0.015850,-0.002850,0.005449,0.002650,0.007100,0.011775,0.001915,0.007119,-0.002100,-0.004725,0.021441,-0.014388,-0.000281,-0.000212,0.000000,0.000000,0.012091,0.009873,0.009340,-0.004355
-0.005925,-0.025425,-0.008275,0.007350,0.012800,-0.007625,0.023825,0.027050,0.013250,-0.023175,-0.007275,0.004025,0.000696,0.010325,0.011100,0.003669,0.008593,-0.003250,-0.003625,0.020612,-0.012526,-0.000249,-0.000166,0.000000,0.000000,0.016138,0.011885,0.014598,-0.007708
-0.008250,-0.022425,-0.013025,0.007725,0.012175,-0.010100,0.020650,0.024775,0.015100,-0.031600,-0.009325,0.005451,-0.000342,0.014375,0.008625,0.007573,0.010979,-0.005975,-0.003325,0.011292,0.002503,-0.000123,0.000091,0.000000,0.000000,0.012095,0.007023,0.016382,-0.006533
-0.007900,-0.025125,-0.013775,0.007625,0.012000,-0.009775,0.017550,0.015975,0.019575,-0.030400,-0.009525,-0.001598,-0.008100,0.013600,0.012475,0.009348,0.010268,-0.005500,-0.003825,0.011246,0.003957,-0.000115,0.000130,0.000000,0.000000,0.013567,0.009435,0.013896,-0.004178
-0.008375,-0.029375,-0.012575,0.006825,0.011800,-0.008475,0.015800,0.009550,0.024000,-0.028600,-0.009150,-0.010517,-0.016728,0.014425,0.016800,0.010046,0.008146,-0.004275,-0.004425,0.013233,0.000916,-0.000138,0.000087,0.000000,0.000000,0.015400,0.012466,0.011075,-0.002730
-0.013200,-0.030950,-0.011500,0.005100,0.011025,-0.008050,0.016650,0.014400,0.025675,-0.035175,-0.009475,-0.014701,-0.020388,0.023375,0.015750,0.010750,0.006301,-0.004775,-0.004300,0.009872,0.002627,-0.000099,0.000103,0.000000,0.000000,0.012580,0.009577,0.011920,-0.004317
