body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.006175,0.002725,0.001100,-0.005563,0.002756,0.001116,-0.006651,0.000748,0.001023,-0.004906,-0.000163,0.000624,-0.009132,0.002730,0.001020,-0.004973,0.001318,0.001011,-0.003765,0.000652,0.000798,-0.005472,0.002845,0.001167,0.002108,0.002404,0.000536,0.001302,0.000461,-0.000072,0.001158,-0.001610,-0.000478,-0.003769,0.002678,0.001024,-0.004578,0.000676,0.000494,-0.005043,-0.000860,0.000179
-0.008375,0.003925,0.001300,-0.007661,0.004056,0.001397,-0.007564,0.002292,0.001268,-0.005506,0.001503,0.000816,-0.011448,0.004031,0.001131,-0.007122,0.002295,0.001137,-0.005124,0.001263,0.000811,-0.007630,0.004032,0.001371,0.001097,0.003571,0.000586,-0.000549,0.001604,-0.000597,-0.001589,-0.000472,-0.001550,-0.005284,0.003860,0.001161,-0.006870,0.001821,0.000081,-0.008158,0.000261,-0.000760
-0.010850,0.000700,0.000150,-0.010393,0.000987,0.000381,-0.009748,-0.000317,0.000257,-0.005125,-0.000223,-0.000639,-0.013761,0.000968,-0.000155,-0.009650,-0.001070,-0.000123,-0.006296,-0.002822,-0.000650,-0.010068,0.000773,0.000224,-0.001564,0.000604,-0.000730,-0.003802,-0.001188,-0.002312,-0.005647,-0.003121,-0.003733,-0.007375,0.000863,0.000114,-0.009656,-0.001047,-0.001464,-0.011754,-0.002401,-0.002855
-0.005175,0.000625,0.000700,-0.004253,0.000861,0.000885,-0.002761,-0.000609,0.000714,0.002030,-0.000698,-0.000210,-0.008296,0.000840,0.000444,-0.004808,-0.001161,0.000491,-0.002670,-0.002741,0.000181,-0.004451,0.000741,0.000768,0.004592,0.000550,-0.000268,0.001691,-0.001451,-0.002312,-0.001123,-0.003729,-0.004372,-0.002407,0.000849,0.000718,-0.005180,-0.001405,-0.001205,-0.008141,-0.002980,-0.003124
-0.000100,0.001300,0.001625,0.001573,0.001374,0.001671,0.003486,-0.000245,0.001473,0.007163,-0.000649,0.000756,-0.003447,0.001347,0.001515,-0.000003,-0.000120,0.001534,0.001262,-0.000892,0.001346,0.000498,0.001503,0.001681,0.010069,0.001342,0.000534,0.006725,-0.001173,-0.001829,0.003200,-0.003998,-0.004363,0.001507,0.001697,0.001762,-0.001560,-0.001131,-0.000358,-0.005188,-0.003238,-0.002627
-0.004300,0.000425,0.001750,-0.002064,0.000349,0.001675,-0.000943,-0.000711,0.001546,0.001373,-0.000584,0.001110,-0.007534,0.000319,0.001773,-0.002610,0.000068,0.001691,0.001031,0.000501,0.001017,-0.003860,0.000715,0.001791,0.005467,0.000962,0.000411,0.002170,-0.002247,-0.001935,-0.001407,-0.005490,-0.004452,-0.003624,0.001333,0.002163,-0.006810,-0.002006,-0.000025,-0.010673,-0.004802,-0.002322
-0.006375,-0.000575,0.001050,-0.003460,-0.000821,0.000839,-0.003357,-0.001498,0.000771,-0.000901,-0.000671,0.000340,-0.009872,-0.000854,0.001221,-0.004221,-0.000698,0.001101,0.001039,0.000261,0.000115,-0.006052,-0.000181,0.001080,0.003295,0.000493,-0.000602,-0.000480,-0.003601,-0.003293,-0.004512,-0.007557,-0.006109,-0.006760,0.000883,0.001746,-0.010631,-0.003263,-0.000904,-0.015204,-0.006897,-0.003565
-0.005250,-0.001175,-0.000200,-0.001865,-0.001538,-0.000506,-0.002474,-0.002222,-0.000553,0.001585,-0.000890,-0.001263,-0.009254,-0.001574,0.000072,-0.003976,-0.002052,-0.000004,0.001340,-0.001533,-0.000970,-0.004948,-0.000706,-0.000172,0.004678,0.000207,-0.002084,0.000151,-0.004539,-0.005297,-0.004507,-0.009148,-0.008565,-0.006310,0.000615,0.000651,-0.011072,-0.004236,-0.002605,-0.016468,-0.008465,-0.005769
-0.003825,-0.000425,0.000575,-0.001106,-0.000799,0.000257,-0.002492,-0.001212,0.000259,0.000685,0.000173,-0.000288,-0.007825,-0.000828,0.000853,-0.003173,-0.000805,0.000765,0.001022,0.000155,-0.000022,-0.003388,0.000013,0.000615,0.006483,0.000602,-0.001153,0.001727,-0.003657,-0.004500,-0.002978,-0.007801,-0.007773,-0.004265,0.001006,0.001210,-0.008955,-0.003327,-0.001997,-0.014098,-0.007141,-0.005018
-0.003700,0.001175,0.001250,-0.001820,0.000843,0.000963,-0.003705,0.000714,0.001007,-0.001658,0.002085,0.000665,-0.007586,0.000821,0.001489,-0.003491,0.001663,0.001368,-0.000019,0.003259,0.000680,-0.003103,0.001556,0.001306,0.007014,0.001805,-0.000287,0.002343,-0.001843,-0.003553,-0.002288,-0.005284,-0.006687,-0.003056,0.002201,0.001645,-0.007392,-0.001378,-0.001322,-0.012161,-0.004668,-0.004085
