body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.003672,-0.004612,-0.000634,-0.003994,-0.004526,-0.000558,-0.006662,-0.006914,-0.000599,-0.004906,-0.008195,-0.001017,-0.005272,-0.004536,-0.000749,-0.002140,-0.005983,-0.000732,-0.001236,-0.007260,-0.000871,-0.003249,-0.004587,-0.000586,0.002204,-0.004493,-0.001132,0.002894,-0.002157,-0.000567,0.006274,-0.003018,0.000324,-0.001415,-0.004380,-0.000571,-0.005457,-0.007916,-0.000273,-0.008777,-0.011309,-0.001290
-0.005375,-0.002340,-0.000424,-0.005168,-0.002306,-0.000399,-0.007488,-0.004237,-0.000432,-0.003645,-0.004461,-0.001201,-0.008006,-0.002327,-0.000506,-0.004326,-0.003554,-0.000511,-0.002976,-0.004383,-0.000752,-0.004826,-0.002274,-0.000362,0.001052,-0.002198,-0.000940,0.002693,0.000539,-0.000282,0.006152,0.000487,0.000690,-0.003743,-0.002045,-0.000287,-0.006551,-0.005826,0.000159,-0.007792,-0.009097,-0.000221
-0.006191,0.002721,0.001092,-0.005579,0.002752,0.001108,-0.006668,0.000745,0.001015,-0.004920,-0.000164,0.000615,-0.009152,0.002726,0.001012,-0.004997,0.001313,0.001003,-0.003798,0.000647,0.000792,-0.005621,0.002811,0.001157,0.002225,0.002580,0.000574,0.002800,0.004802,0.001113,0.005137,0.003699,0.001704,-0.003814,0.002776,0.001048,-0.006466,-0.000949,0.001499,-0.008265,-0.004964,0.000956
-0.008375,0.003942,0.001322,-0.007663,0.004074,0.001421,-0.007568,0.002318,0.001291,-0.005512,0.001536,0.000841,-0.011448,0.004049,0.001152,-0.007122,0.002314,0.001158,-0.005121,0.001282,0.000832,-0.007772,0.004005,0.001390,0.001250,0.003759,0.000704,0.000943,0.005534,0.001140,0.001372,0.004376,0.001199,-0.005256,0.003973,0.001248,-0.008219,0.000411,0.001645,-0.010941,-0.004042,0.000840
-0.010834,0.000711,0.000151,-0.010379,0.000999,0.000383,-0.009737,-0.000305,0.000259,-0.005124,-0.000211,-0.000635,-0.013747,0.000981,-0.000155,-0.009637,-0.001052,-0.000123,-0.006284,-0.002799,-0.000651,-0.010203,0.000712,0.000222,-0.001386,0.000748,-0.000615,-0.001946,0.002368,-0.000216,-0.003259,0.002177,-0.000574,-0.007348,0.000947,0.000210,-0.010934,-0.002425,0.000525,-0.014483,-0.006790,-0.000509
-0.005172,0.000619,0.000680,-0.004246,0.000853,0.000863,-0.002751,-0.000622,0.000692,0.002043,-0.000716,-0.000233,-0.008294,0.000832,0.000426,-0.004800,-0.001168,0.000473,-0.002661,-0.002745,0.000163,-0.004590,0.000657,0.000746,0.004741,0.000714,-0.000156,0.003671,0.001536,0.000046,0.001336,0.001254,-0.000586,-0.002426,0.000956,0.000804,-0.006772,-0.001495,0.000893,-0.011315,-0.005497,-0.000441
-0.000095,0.001305,0.001642,0.001576,0.001382,0.001690,0.003482,-0.000230,0.001493,0.007153,-0.000627,0.000778,-0.003441,0.001355,0.001529,0.000003,-0.000108,0.001548,0.001270,-0.000875,0.001360,0.000385,0.001420,0.001696,0.010202,0.001545,0.000703,0.008636,0.001736,0.000749,0.005220,0.001381,-0.000171,0.001483,0.001844,0.001880,-0.003369,0.000113,0.001800,-0.008322,-0.003629,0.000330
-0.004311,0.000407,0.001766,-0.002071,0.000334,0.001694,-0.000946,-0.000722,0.001565,0.001374,-0.000591,0.001128,-0.007544,0.000304,0.001786,-0.002617,0.000055,0.001704,0.001033,0.000491,0.001029,-0.003961,0.000580,0.001806,0.005566,0.001133,0.000586,0.003790,0.001666,0.000719,-0.001542,0.002333,-0.000660,-0.003648,0.001457,0.002291,-0.008360,-0.000688,0.002298,-0.012387,-0.004656,0.001089
-0.006375,-0.000580,0.001029,-0.003452,-0.000829,0.000815,-0.003336,-0.001514,0.000746,-0.000863,-0.000693,0.000312,-0.009872,-0.000863,0.001204,-0.004214,-0.000717,0.001084,0.001049,0.000234,0.000098,-0.006123,-0.000331,0.001058,0.003435,0.000690,-0.000442,0.001428,0.000703,-0.000432,-0.005363,0.001169,-0.002221,-0.006766,0.001056,0.001883,-0.012261,-0.000242,0.001677,-0.017243,-0.003797,0.000191
-0.005255,-0.001161,-0.000200,-0.001877,-0.001527,-0.000508,-0.002491,-0.002213,-0.000555,0.001560,-0.000885,-0.001263,-0.009261,-0.001562,0.000073,-0.003992,-0.002040,-0.000002,0.001309,-0.001521,-0.000965,-0.005018,-0.000859,-0.000173,0.004876,0.000433,-0.001869,0.002733,-0.000675,-0.002129,-0.004335,-0.001529,-0.004073,-0.006310,0.000842,0.000859,-0.013118,0.001231,0.000249,-0.020461,-0.001474,-0.001912
-0.003826,-0.000432,0.000575,-0.001114,-0.000806,0.000257,-0.002502,-0.001224,0.000258,0.000673,0.000155,-0.000288,-0.007821,-0.000835,0.000853,-0.003171,-0.000812,0.000765,0.001022,0.000145,-0.000021,-0.003480,-0.000133,0.000614,0.006670,0.000806,-0.000912,0.004208,0.000430,-0.000987,-0.004191,0.000403,-0.003239,-0.004226,0.001213,0.001418,-0.010322,0.003142,0.000587,-0.016641,0.002005,-0.001252
