body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.001746,0.025474,-0.006233,0.001653,0.004310,-0.005938,0.008188,-0.032995,0.000805,-0.001665,-0.004471,0.003207,0.007103,-0.008415,-0.005063,0.003064,-0.020580,0.010668,0.001572,-0.000917,0.009419,-0.008282,0.053812,-0.016809,0.195966,0.112189,-0.013647,0.220640,0.106095,0.062027,0.236116,0.120916,0.098221,0.175996,0.052358,-0.003599,0.214188,0.043018,0.105561,0.189732,0.073689,0.095510
-0.000960,0.027967,-0.004268,0.001766,-0.000320,-0.004099,0.008949,-0.033035,-0.008033,0.000978,-0.003036,-0.005570,0.005727,-0.008663,-0.003447,0.001539,-0.026748,0.008902,0.001183,-0.000790,0.007281,-0.007850,0.058044,-0.014063,0.180423,0.111087,-0.011823,0.198797,0.100768,0.050578,0.209540,0.110365,0.076637,0.152848,0.057193,-0.002859,0.191624,0.044217,0.098121,0.174216,0.066160,0.091972
-0.000249,0.033416,-0.004394,0.000858,-0.002713,-0.004475,0.007451,-0.028953,-0.013310,0.000193,0.006475,-0.010459,0.004524,-0.011881,-0.003920,0.000923,-0.031615,0.003675,0.000743,-0.001932,0.001828,-0.008172,0.065941,-0.009974,0.163625,0.113429,-0.008620,0.175527,0.098087,0.041112,0.181488,0.102735,0.054839,0.127973,0.065110,-0.000634,0.167856,0.048078,0.092590,0.158145,0.059685,0.089935
0.000657,0.039712,-0.003665,-0.000233,-0.005758,-0.004053,0.005055,-0.025129,-0.013453,-0.001181,0.018114,-0.010043,0.003389,-0.015450,-0.003567,0.000407,-0.033868,0.001225,0.000288,-0.002129,-0.000746,-0.007690,0.076381,-0.004956,0.147503,0.118049,-0.004469,0.152869,0.097011,0.033351,0.153856,0.097130,0.033674,0.103639,0.074308,0.002932,0.145074,0.052812,0.088651,0.143654,0.053315,0.088878
0.001880,0.044846,0.000762,-0.000692,-0.012192,0.000092,0.003099,-0.025839,-0.006980,-0.000324,0.026060,-0.003002,0.001969,-0.016604,0.000409,-0.001040,-0.031895,0.007610,-0.000373,0.001077,0.005577,-0.005028,0.088446,0.000521,0.133850,0.124089,0.000117,0.132633,0.096655,0.026813,0.128312,0.092751,0.014002,0.081972,0.083628,0.007486,0.125332,0.057283,0.085719,0.132634,0.046937,0.088063
0.003271,0.050784,0.003442,-0.001278,-0.017669,0.002450,0.001692,-0.029106,-0.002079,0.001127,0.029317,0.002300,0.000464,-0.018926,0.002582,-0.003063,-0.036485,0.011279,-0.000171,0.001461,0.008975,-0.002296,0.102188,0.002065,0.121133,0.131576,0.000720,0.113228,0.096916,0.017076,0.103293,0.089462,-0.007444,0.061637,0.093381,0.008624,0.107117,0.061920,0.079214,0.123186,0.041888,0.082952
0.004181,0.054584,0.003061,-0.001675,-0.019489,0.001863,0.001568,-0.033373,-0.001171,0.002443,0.026201,0.003241,-0.000274,-0.021194,0.001899,-0.004556,-0.045332,0.010445,0.000917,-0.001173,0.007798,-0.000748,0.110757,-0.001091,0.108741,0.133536,-0.003526,0.094083,0.090892,0.003270,0.078486,0.080284,-0.030825,0.042087,0.097160,0.005494,0.089708,0.060508,0.068247,0.114016,0.032531,0.072864
0.004638,0.060481,0.003684,-0.004799,-0.024501,0.001954,-0.001783,-0.036709,-0.001813,0.003156,0.025980,0.002696,-0.002268,-0.025061,0.002066,-0.005361,-0.042024,0.008573,-0.002372,0.001670,0.005917,-0.001412,0.125059,0.000432,0.096158,0.140630,-0.003376,0.074896,0.089811,-0.005394,0.054031,0.076457,-0.046721,0.022738,0.105947,0.007469,0.072454,0.064175,0.062392,0.103927,0.030168,0.067576
0.005087,0.067772,0.005961,-0.008797,-0.028815,0.003578,-0.005354,-0.041500,-0.002388,0.002119,0.024996,0.002307,-0.004020,-0.028435,0.003915,-0.006099,-0.039164,0.008763,-0.006668,0.006314,0.005941,-0.001919,0.141426,0.003208,0.086037,0.148822,-0.002377,0.058674,0.090592,-0.012555,0.033400,0.075085,-0.059001,0.006016,0.115627,0.011260,0.057785,0.068934,0.058844,0.095006,0.030641,0.064315
0.005877,0.075805,0.010443,-0.011860,-0.028593,0.007497,-0.006172,-0.050261,-0.001370,-0.001883,0.019533,0.003632,-0.004083,-0.029024,0.008189,-0.007418,-0.049081,0.013965,-0.008655,0.009361,0.010331,-0.000047,0.156345,0.003627,0.080749,0.154057,-0.004351,0.048104,0.090070,-0.022135,0.019542,0.073304,-0.072092,-0.006160,0.122016,0.013422,0.047603,0.070884,0.054818,0.089102,0.029692,0.060058
0.006143,0.085753,0.010979,-0.014172,-0.031136,0.007594,-0.007616,-0.060270,0.003017,-0.006803,0.011638,0.008247,-0.004824,-0.030347,0.008470,-0.008480,-0.054538,0.013258,-0.012486,0.011271,0.009126,0.001313,0.176310,0.002974,0.077500,0.162295,-0.008181,0.040524,0.094631,-0.033105,0.009754,0.077765,-0.085584,-0.017181,0.131112,0.015353,0.038372,0.076433,0.052387,0.082917,0.033315,0.056509
0.005818,0.092716,0.007302,-0.014482,-0.035126,0.003816,-0.008881,-0.066486,0.008598,-0.010120,0.005268,0.013845,-0.005769,-0.031708,0.004615,-0.008654,-0.052756,0.007039,-0.016117,0.011123,0.002974,0.001562,0.191387,0.001566,0.075689,0.163512,-0.013595,0.035292,0.094200,-0.045241,0.003050,0.078416,-0.099850,-0.028101,0.132807,0.017390,0.028901,0.075826,0.052344,0.075776,0.031319,0.054224
0.006837,0.106263,0.007654,-0.015254,-0.039724,0.003774,-0.009552,-0.071717,0.008770,-0.007294,0.005842,0.014294,-0.008090,-0.036573,0.004276,-0.010580,-0.056607,0.005083,-0.018528,0.007458,0.000997,0.001952,0.215703,0.004610,0.076428,0.172399,-0.015259,0.033374,0.103114,-0.053192,-0.000118,0.089207,-0.110143,-0.037922,0.141391,0.024678,0.020110,0.083539,0.059943,0.069267,0.037638,0.058669
