joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-1.296270,-1.346071,-0.096804,0.183419,-0.129245,-0.144113,0.160708,-0.031608,0.523434,1.095197,1.089403,-1.217624,-1.496811,-0.343668,-0.286139,0.818504,-0.265191,0.009968,0.032500,-0.561508,0.553154,0.698003,1.426632,-0.497355,0.496876,-0.265877,-0.258808,0.027829,0.027829
-1.266751,-1.316729,-0.093164,0.180542,-0.129719,-0.138532,0.161452,-0.033981,0.523839,1.073509,1.068963,-1.203245,-1.483796,-0.336662,-0.280810,0.807942,-0.274958,0.007861,0.033669,-0.562716,0.566218,0.693296,1.414596,-0.491591,0.491181,-0.249207,-0.242998,0.027658,0.027658
-1.236652,-1.286357,-0.089510,0.177499,-0.130196,-0.132716,0.162108,-0.036346,0.524117,1.051106,1.048234,-1.188831,-1.471087,-0.329271,-0.275490,0.796876,-0.284989,0.005594,0.034696,-0.564401,0.580085,0.689051,1.404138,-0.485859,0.485521,-0.232555,-0.227313,0.027010,0.027010
-1.206261,-1.255470,-0.085851,0.174373,-0.130674,-0.126784,0.162720,-0.038707,0.524332,1.028345,1.027361,-1.174416,-1.460469,-0.321688,-0.270176,0.785513,-0.293958,0.003247,0.035654,-0.566262,0.595388,0.685047,1.397407,-0.480205,0.479938,-0.216212,-0.211955,0.025821,0.025821
-1.173935,-1.223225,-0.082312,0.171006,-0.131456,-0.120924,0.163295,-0.041294,0.524855,1.004361,1.005913,-1.159927,-1.450657,-0.314233,-0.264731,0.774035,-0.302761,0.000738,0.036671,-0.568063,0.612250,0.681123,1.390888,-0.474622,0.474420,-0.200418,-0.197123,0.024084,0.024084
-1.141252,-1.190630,-0.078739,0.167458,-0.132289,-0.115067,0.163947,-0.043887,0.525141,0.979980,0.984133,-1.145230,-1.438702,-0.306781,-0.259301,0.762612,-0.313397,-0.001718,0.037800,-0.569633,0.629707,0.677175,1.377914,-0.469069,0.468928,-0.185371,-0.183013,0.021860,0.021860
-1.107855,-1.157339,-0.075095,0.163545,-0.133223,-0.109215,0.164752,-0.046495,0.524952,0.954808,0.961692,-1.130284,-1.422059,-0.299336,-0.253900,0.751456,-0.327253,-0.004069,0.039153,-0.570812,0.645809,0.673061,1.353200,-0.463502,0.463415,-0.171259,-0.169784,0.019272,0.019272
-1.074166,-1.123930,-0.071944,0.159503,-0.134064,-0.103885,0.165349,-0.049240,0.524893,0.929065,0.939146,-1.115275,-1.399847,-0.291719,-0.248339,0.740863,-0.344081,-0.006446,0.040530,-0.571407,0.658458,0.668532,1.315985,-0.457880,0.457837,-0.158258,-0.157511,0.016467,0.016467
-1.040331,-1.090460,-0.069038,0.155394,-0.134858,-0.098814,0.165842,-0.052053,0.524899,0.903038,0.916549,-1.100437,-1.373040,-0.284017,-0.242698,0.731120,-0.362298,-0.008836,0.041920,-0.571273,0.666375,0.663339,1.269908,-0.452168,0.452152,-0.146474,-0.146188,0.013582,0.013582
-1.005425,-1.056587,-0.066468,0.151295,-0.135594,-0.094497,0.166810,-0.054432,0.524990,0.876587,0.893195,-1.085741,-1.343829,-0.276209,-0.236852,0.722354,-0.380063,-0.011180,0.043668,-0.570428,0.669514,0.657425,1.220453,-0.446315,0.446310,-0.135841,-0.135762,0.010705,0.010705
-0.970277,-1.022546,-0.064228,0.146993,-0.136383,-0.090468,0.167811,-0.056762,0.524997,0.849213,0.869432,-1.070950,-1.314452,-0.267967,-0.230753,0.714538,-0.396095,-0.013573,0.045401,-0.569012,0.668799,0.650901,1.172241,-0.440239,0.440238,-0.126144,-0.126130,0.007857,0.007857
-0.934645,-0.988168,-0.062647,0.142290,-0.137279,-0.087015,0.168875,-0.058994,0.524835,0.819994,0.844850,-1.055885,-1.286289,-0.258860,-0.224145,0.707606,-0.409839,-0.016069,0.047105,-0.567140,0.665514,0.643897,1.127762,-0.433833,0.433833,-0.117116,-0.117114,0.004994,0.004994
-0.898276,-0.952865,-0.061321,0.137486,-0.138261,-0.083970,0.170210,-0.061063,0.524749,0.789650,0.819221,-1.040527,-1.259784,-0.249191,-0.217114,0.701490,-0.421304,-0.018483,0.048834,-0.564847,0.660772,0.636507,1.087551,-0.426983,0.426983,-0.108509,-0.108509,0.002025,0.002025
-0.861539,-0.917098,-0.060123,0.132632,-0.139286,-0.081130,0.171681,-0.063052,0.524701,0.758743,0.793070,-1.024946,-1.234832,-0.239240,-0.209870,0.696102,-0.430793,-0.020857,0.050576,-0.562114,0.655299,0.628830,1.051028,-0.419608,0.419608,-0.100130,-0.100130,-0.001157,-0.001157
-0.824128,-0.881214,-0.059438,0.127358,-0.139820,-0.078788,0.173537,-0.064892,0.524901,0.726292,0.766249,-1.009246,-1.211145,-0.228332,-0.202433,0.691325,-0.438691,-0.023097,0.052482,-0.558911,0.649482,0.620992,1.017286,-0.411697,0.411697,-0.091846,-0.091846,-0.004641,-0.004641
-0.786406,-0.845124,-0.058761,0.122193,-0.140431,-0.076443,0.175413,-0.066824,0.525096,0.693317,0.738948,-0.993538,-1.188437,-0.217454,-0.194860,0.687024,-0.445349,-0.025395,0.054411,-0.555214,0.643512,0.613135,0.985504,-0.403330,0.403330,-0.083585,-0.083585,-0.008477,-0.008477
-0.748063,-0.808624,-0.058102,0.117244,-0.141195,-0.074092,0.177329,-0.068941,0.525281,0.659294,0.710685,-0.977919,-1.166489,-0.206636,-0.187016,0.683066,-0.451057,-0.027812,0.056388,-0.551027,0.637500,0.605383,0.955079,-0.394667,0.394667,-0.075317,-0.075317,-0.012673,-0.012673
-0.710120,-0.772379,-0.057047,0.112545,-0.141616,-0.071527,0.179230,-0.071308,0.525563,0.625837,0.682632,-0.962470,-1.145156,-0.196112,-0.179438,0.679337,-0.456043,-0.030212,0.058332,-0.546367,0.631525,0.597811,0.925607,-0.385919,0.385919,-0.067041,-0.067041,-0.017194,-0.017194
-0.672378,-0.736262,-0.055794,0.107971,-0.141866,-0.068855,0.181123,-0.073799,0.525894,0.592664,0.654683,-0.947235,-1.124359,-0.185734,-0.171992,0.675760,-0.460491,-0.032605,0.060260,-0.541245,0.625646,0.590414,0.896829,-0.377296,0.377296,-0.058779,-0.058779,-0.021967,-0.021967
-0.635369,-0.700386,-0.054675,0.104044,-0.141780,-0.065778,0.183224,-0.076462,0.526096,0.560939,0.626568,-0.932222,-1.104062,-0.176416,-0.165283,0.672297,-0.464530,-0.034669,0.062299,-0.535645,0.619883,0.583101,0.868581,-0.368972,0.368972,-0.050561,-0.050561,-0.026887,-0.026887
-0.599044,-0.665034,-0.053509,0.100370,-0.141538,-0.062588,0.185375,-0.078928,0.526189,0.530027,0.598972,-0.917390,-1.084259,-0.167602,-0.159157,0.668956,-0.468239,-0.036607,0.064350,-0.529502,0.614211,0.575691,0.840742,-0.361073,0.361073,-0.042418,-0.042418,-0.031826,-0.031826
-0.564085,-0.630733,-0.052251,0.097197,-0.140983,-0.059171,0.187628,-0.080998,0.526067,0.500742,0.572417,-0.902655,-1.064953,-0.159794,-0.154196,0.665787,-0.471641,-0.038294,0.066424,-0.522716,0.608553,0.567938,0.813221,-0.353677,0.353677,-0.034370,-0.034370,-0.036644,-0.036644
-0.530047,-0.597667,-0.050950,0.094456,-0.140207,-0.055786,0.189984,-0.082586,0.525800,0.473385,0.547295,-0.887889,-1.046140,-0.152931,-0.149798,0.662875,-0.474710,-0.039563,0.068580,-0.515174,0.602809,0.559550,0.785933,-0.346820,0.346820,-0.026414,-0.026414,-0.041204,-0.041204
-0.496469,-0.565220,-0.049628,0.091931,-0.139320,-0.052417,0.192391,-0.083931,0.525460,0.446993,0.522891,-0.872941,-1.027792,-0.146541,-0.145681,0.660322,-0.477388,-0.040624,0.070777,-0.506789,0.596873,0.550232,0.758805,-0.340485,0.340485,-0.018515,-0.018515,-0.045396,-0.045396
-0.465180,-0.534968,-0.049036,0.089891,-0.138086,-0.049308,0.194972,-0.084756,0.524602,0.423163,0.501138,-0.857646,-1.009843,-0.141110,-0.141963,0.658211,-0.479618,-0.041572,0.072911,-0.497528,0.590677,0.539730,0.731758,-0.334576,0.334576,-0.010603,-0.010603,-0.049149,-0.049149
-0.434738,-0.505527,-0.048586,0.087951,-0.136885,-0.046434,0.197473,-0.085483,0.523404,0.400144,0.480376,-0.841850,-0.992179,-0.135867,-0.138216,0.656586,-0.481372,-0.042460,0.074907,-0.487427,0.584217,0.527871,0.704710,-0.328886,0.328886,-0.002574,-0.002574,-0.052445,-0.052445
-0.405988,-0.477704,-0.048422,0.086213,-0.135752,-0.044029,0.199813,-0.086012,0.521528,0.378744,0.461595,-0.825406,-0.974638,-0.131003,-0.134407,0.655424,-0.482668,-0.043232,0.076628,-0.476578,0.577569,0.514579,0.677564,-0.323091,0.323091,0.005688,0.005688,-0.055319,-0.055319
