joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.617875,0.736925,0.029225,0.046200,0.070975,0.026500,-0.072650,-0.069650,-0.697900,-0.077400,-0.247725,0.910681,0.953413,-0.180300,-0.143200,-0.293928,0.023354,-0.040175,-0.033025,0.534888,-0.272220,-0.913837,-1.023725,0.497877,-0.497877,0.274880,0.274880,-0.098390,-0.098390
0.588275,0.702150,0.028125,0.048175,0.074350,0.019525,-0.067300,-0.073800,-0.670500,-0.047150,-0.225225,0.827228,0.864998,-0.180025,-0.133900,-0.258375,0.056258,-0.052975,-0.034425,0.520328,-0.296131,-0.883293,-0.965996,0.484389,-0.484389,0.258664,0.258664,-0.089100,-0.089100
0.555325,0.661025,0.029400,0.054700,0.077325,0.011800,-0.044200,-0.071100,-0.636500,-0.026875,-0.211475,0.746601,0.782542,-0.173525,-0.114050,-0.221800,0.086117,-0.063950,-0.031125,0.503060,-0.311987,-0.851631,-0.914898,0.478699,-0.478699,0.252580,0.252580,-0.083337,-0.083337
0.535500,0.634175,0.032400,0.062450,0.078375,0.007150,-0.014875,-0.062900,-0.612850,-0.026700,-0.213350,0.672775,0.708372,-0.164025,-0.093525,-0.186555,0.111975,-0.067625,-0.024775,0.485800,-0.319005,-0.820693,-0.871124,0.476610,-0.476610,0.253758,0.253758,-0.081125,-0.081125
0.504275,0.590350,0.035625,0.074500,0.090850,0.003650,0.013250,-0.041400,-0.588950,-0.020200,-0.213175,0.608390,0.643081,-0.160875,-0.076100,-0.154226,0.133284,-0.062600,-0.027075,0.470537,-0.317736,-0.792335,-0.834012,0.474016,-0.474016,0.257943,0.257943,-0.081863,-0.081863
0.469450,0.542675,0.036625,0.084700,0.101475,-0.000725,0.039675,-0.016500,-0.564600,-0.012475,-0.209425,0.554287,0.586094,-0.161300,-0.064875,-0.125697,0.149809,-0.052875,-0.029250,0.458035,-0.309993,-0.767861,-0.802118,0.468159,-0.468159,0.260675,0.260675,-0.084692,-0.084692
0.438850,0.504300,0.032925,0.086800,0.096975,-0.007950,0.063800,0.001950,-0.539525,-0.008600,-0.200525,0.509555,0.536341,-0.162500,-0.062850,-0.101334,0.161535,-0.042550,-0.022525,0.447825,-0.298520,-0.747736,-0.773934,0.458158,-0.458158,0.258407,0.258407,-0.088911,-0.088911
0.398325,0.454225,0.025475,0.085500,0.092675,-0.018425,0.083075,0.019925,-0.501725,-0.002800,-0.181275,0.472048,0.492754,-0.160800,-0.060700,-0.081171,0.168652,-0.029025,-0.019350,0.438529,-0.286441,-0.731570,-0.748279,0.444695,-0.444695,0.249258,0.249258,-0.094282,-0.094282
0.368175,0.417500,0.017975,0.081425,0.090700,-0.026925,0.087875,0.028400,-0.470125,0.002000,-0.161300,0.439199,0.454508,-0.157075,-0.059525,-0.065068,0.171585,-0.019025,-0.021325,0.428327,-0.276564,-0.718261,-0.724225,0.429170,-0.429170,0.233212,0.233212,-0.101083,-0.101083
0.334675,0.368900,0.013050,0.075925,0.081700,-0.033850,0.085400,0.033375,-0.423600,0.016500,-0.131450,0.408802,0.421035,-0.151550,-0.066475,-0.052823,0.170961,-0.007475,-0.021100,0.415438,-0.270774,-0.706247,-0.700777,0.412758,-0.412758,0.211688,0.211688,-0.109855,-0.109855
